student_id,age,gender,academic_level,study_hours,self_study_hours,online_classes_hours,social_media_hours,gaming_hours,sleep_hours,screen_time_hours,internet_quality,mental_health_score,focus_index,burnout_level,productivity_score,exam_score
1,18,Other,High School,7.64,1.56,2.2,3.05,2.19,6.52,6.47,Good,10,43.05,31.77,73.65,50.16
2,18,Other,High School,2.21,2.22,2.1,1.65,2.55,5.97,6.05,Good,3,15.92,37.0,13.7,1.0
3,22,Male,High School,3.45,0.0,0.29,1.34,2.08,8.39,7.62,Good,8,27.39,34.37,45.15,18.3
4,17,Other,High School,5.75,2.08,3.01,2.27,2.2,6.31,11.67,Poor,3,22.31,77.31,20.92,9.37
5,19,Other,High School,6.83,1.72,3.33,2.65,0.7,8.01,10.02,Good,8,38.11,39.53,59.23,27.81
7,22,Other,High School,4.6,2.37,1.27,3.12,1.89,7.61,11.34,Poor,6,33.26,62.01,37.59,10.35
8,17,Male,High School,8.77,3.78,2.09,1.76,3.13,7.62,7.27,Good,1,31.98,45.98,45.04,19.89
10,17,Female,High School,3.98,0.16,1.29,3.2,2.13,5.43,7.79,Average,9,20.26,60.78,29.06,8.99
12,16,Male,High School,5.99,2.6,1.06,0.89,2.72,7.08,7.68,Good,2,25.04,36.14,31.13,15.01
24,20,Male,High School,3.59,2.32,0.06,5.1,1.05,6.21,4.39,Poor,4,32.36,42.51,21.4,11.21
26,18,Female,High School,5.77,2.02,1.1,3.9,1.54,6.98,8.58,Good,4,21.89,33.8,42.44,16.33
30,23,Female,High School,3.54,2.39,2.67,5.24,1.22,5.91,4.89,Good,6,16.61,40.95,29.44,10.73
31,25,Male,High School,3.95,2.45,2.53,3.97,0.72,5.9,6.69,Average,9,31.41,52.4,52.7,23.19
36,21,Male,High School,2.6,2.99,2.43,2.71,2.53,4.7,3.65,Poor,8,24.24,38.06,37.5,22.18
43,16,Other,High School,2.12,0.61,2.16,1.95,1.66,6.57,5.02,Poor,3,14.39,22.39,25.29,18.54
44,18,Male,High School,2.59,2.33,2.86,2.13,1.55,7.18,8.42,Good,2,25.78,46.05,21.13,15.42
45,22,Male,High School,7.29,3.51,1.56,6.04,0.0,7.53,9.71,Average,3,28.74,30.2,49.56,14.43
46,18,Female,High School,7.24,2.22,1.6,3.7,2.39,5.93,6.58,Good,5,31.01,37.7,46.71,21.93
48,20,Male,High School,4.73,0.71,2.8,4.93,2.1,6.68,5.94,Average,2,6.54,41.12,15.82,3.28
49,22,Other,High School,4.14,2.22,1.53,3.58,0.0,7.56,6.66,Good,3,22.55,49.82,23.31,16.47
54,23,Female,High School,4.56,0.0,2.18,6.37,2.51,5.95,11.87,Average,9,20.7,55.93,40.61,15.6
58,21,Male,High School,4.08,2.64,2.08,3.37,2.55,6.79,5.77,Good,10,42.23,61.42,48.76,23.74
65,18,Male,High School,3.05,2.15,4.48,2.49,1.15,6.25,4.76,Good,1,13.54,43.27,17.14,1.0
67,17,Male,High School,6.32,3.38,2.51,3.11,1.09,5.08,2.32,Poor,6,42.24,66.5,46.57,18.01
